Date,New Accounts,Running Total of New Accounts
1/1/2017,38519,38519
1/2/2017,22555,61074
1/3/2017,19341,80415
1/4/2017,11058,91473
1/5/2017,8127,99600
1/6/2017,5650,105250
1/7/2017,2628,107878
1/8/2017,2218,110096
1/9/2017,5211,115307
1/10/2017,4677,119984
1/11/2017,3941,123925
1/12/2017,3493,127418
1/13/2017,2818,130236
1/14/2017,1334,131570
1/15/2017,1379,132949
1/16/2017,2768,135717
1/17/2017,2632,138349
1/18/2017,2701,141050
1/19/2017,2539,143589
1/20/2017,2286,145875
1/21/2017,1053,146928
1/22/2017,1069,147997
1/23/2017,2278,150275
1/24/2017,2284,152559
1/25/2017,2466,155025
1/26/2017,2207,157232
1/27/2017,1893,159125
1/28/2017,962,160087
1/29/2017,923,161010
1/30/2017,1926,162936
1/31/2017,2053,164989
2/1/2017,2026,167015
2/2/2017,1945,168960
2/3/2017,1742,170702
2/4/2017,946,171648
2/5/2017,857,172505
2/6/2017,1782,174287
2/7/2017,2359,176646
2/8/2017,1972,178618
2/9/2017,2040,180658
2/10/2017,1664,182322
2/11/2017,906,183228
2/12/2017,868,184096
2/13/2017,1704,185800
2/14/2017,1733,187533
2/15/2017,1656,189189
2/16/2017,1803,190992
2/17/2017,1610,192602
2/18/2017,837,193439
2/19/2017,716,194155
2/20/2017,1621,195776
2/21/2017,1657,197433
2/22/2017,1883,199316
2/23/2017,1643,200959
2/24/2017,1422,202381
2/25/2017,992,203373
2/26/2017,774,204147
2/27/2017,1473,205620
2/28/2017,1467,207087
3/1/2017,1700,208787
3/2/2017,1599,210386
3/3/2017,1430,211816
3/4/2017,760,212576
3/5/2017,770,213346
3/6/2017,1683,215029
3/7/2017,1632,216661
3/8/2017,1660,218321
3/9/2017,1598,219919
3/10/2017,1438,221357
3/11/2017,831,222188
3/12/2017,725,222913
3/13/2017,1427,224340
3/14/2017,1666,226006
3/15/2017,1514,227520
3/16/2017,1559,229079
3/17/2017,1306,230385
3/18/2017,701,231086
3/19/2017,697,231783
3/20/2017,1377,233160
3/21/2017,1497,234657
3/22/2017,1553,236210
3/23/2017,1401,237611
3/24/2017,1338,238949
3/25/2017,690,239639
3/26/2017,618,240257
3/27/2017,1384,241641
3/28/2017,1426,243067
3/29/2017,1487,244554
3/30/2017,1427,245981
3/31/2017,1255,247236
4/1/2017,675,247911
4/2/2017,620,248531
4/3/2017,1349,249880
4/4/2017,1575,251455
4/5/2017,1465,252920
4/6/2017,1436,254356
4/7/2017,1288,255644
4/8/2017,662,256306
4/9/2017,600,256906
4/10/2017,1224,258130
4/11/2017,1363,259493
4/12/2017,1331,260824
4/13/2017,1322,262146
4/14/2017,989,263135
4/15/2017,623,263758
4/16/2017,487,264245
4/17/2017,1013,265258
4/18/2017,1373,266631
4/19/2017,1375,268006
4/20/2017,1345,269351
4/21/2017,1177,270528
4/22/2017,631,271159
4/23/2017,569,271728
4/24/2017,1205,272933
4/25/2017,1442,274375
4/26/2017,1455,275830
4/27/2017,1390,277220
4/28/2017,1167,278387
4/29/2017,608,278995
4/30/2017,615,279610
5/1/2017,1092,280702
5/2/2017,1346,282048
5/3/2017,1385,283433
5/4/2017,1385,284818
5/5/2017,1349,286167
5/6/2017,678,286845
5/7/2017,616,287461
5/8/2017,1288,288749
5/9/2017,1341,290090
5/10/2017,1435,291525
5/11/2017,1413,292938
5/12/2017,1181,294119
5/13/2017,617,294736
5/14/2017,583,295319
5/15/2017,1324,296643
5/16/2017,1338,297981
5/17/2017,1380,299361
5/18/2017,1336,300697
5/19/2017,1257,301954
5/20/2017,629,302583
5/21/2017,601,303184
5/22/2017,1314,304498
5/23/2017,1421,305919
5/24/2017,1366,307285
5/25/2017,1266,308551
5/26/2017,1053,309604
5/27/2017,551,310155
5/28/2017,528,310683
5/29/2017,988,311671
5/30/2017,1326,312997
5/31/2017,1425,314422
6/1/2017,1355,315777
